symbol,kind,parent_class,header,signature,line,prod_usage_count,prod_reachable,churn_12m,workflows_direct,header_basename_collision,name_uniqueness,match_confidence
store,p,o2::ctf::EncodedBlocks,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,"(const input_IT srcBegin,const input_IT srcEnd,int slot,Metadata::OptStore opt,buffer_T * buffer=nullptr)",634,263,true,0,34,false,unique,low
storeData,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,"(int _ndata,const W * _data)",249,0,true,0,0,false,unique,high
storeDict,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,"(int _ndict,const W * _dict)",232,0,true,0,0,false,unique,high
storeLiterals,f,o2::ctf::Block,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/EncodedBlocks.h,"(int _nliterals,const W * _literals)",267,0,true,0,0,false,unique,high
string,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,() const,502,-1,true,0,-1,false,ambiguous,ambiguous
string,f,o2::ctf::ANSHeader,/Users/miranov25/alicesw/O2/DataFormats/Detectors/Common/include/DetectorsCommonDataFormats/ANSHeader.h,() const,39,-1,true,0,-1,false,ambiguous,ambiguous
syncCCDBandRegistry,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(void * obj),272,-1,true,0,-1,false,ambiguous,ambiguous
syncCCDBandRegistry,f,o2::conf::ConfigurableParamPromoter,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParamHelper.h,(void * externalobj),320,-1,true,0,-1,false,ambiguous,ambiguous
test,f,o2::utils::EnumFlags,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(T t) const,456,114,true,0,10,false,unique,low
to02PiGen,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(float phi),70,-1,true,0,-1,false,ambiguous,ambiguous
to02PiGen,f,o2::math_utils::detail,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/trigonometric.h,(T phi),55,-1,true,0,-1,false,ambiguous,ambiguous
to02PiGend,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(double phi),75,0,true,0,0,false,unique,high
toCCDB,p,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(std::string filename),255,0,true,0,0,false,unique,high
toLower,f,o2::utils::details::enum_flags::FlagsHelper,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/EnumFlags.h,(const unsigned char c),271,0,true,0,0,false,unique,high
toPMPi,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(float phi),90,2,true,0,0,false,unique,high
toPMPiGen,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(float phi),50,-1,true,0,-1,false,ambiguous,ambiguous
toPMPiGen,f,o2::math_utils::detail,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/detail/trigonometric.h,(T phi),94,-1,true,0,-1,false,ambiguous,ambiguous
toPMPiGend,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(double phi),55,0,true,0,0,false,unique,high
toPMPid,f,o2::math_utils,/Users/miranov25/alicesw/O2/Common/MathUtils/include/MathUtils/Utils.h,(double phi),95,0,true,0,0,false,unique,high
toString,f,o2::conf::ConfigurableParam,/Users/miranov25/alicesw/O2/Common/Utils/include/CommonUtils/ConfigurableParam.h,(EParamProvenance p),155,-1,true,0,-1,false,ambiguous,ambiguous
